"ID del Proceso","Nombre del Procedimiento","Descripción del Procedimiento","Estado del Procedimiento","URLProceso","Entidad","Nit Entidad","Nombre de la Unidad de Contratación","Nombre del Proveedor Adjudicado","Modalidad de Contratacion","Justificación Modalidad de Contratación","Tipo de Contrato","Precio Base","Valor Total Adjudicacion","Duracion","Unidad de Duracion","Proveedores que Manifestaron Interes","Conteo de Respuestas a Ofertas","Fecha de Publicacion del Proceso","Fecha de Apertura Efectiva","Fecha Adjudicacion"
"CO1.REQ.8355347","AIRE ACONDICIONADOS POLICÍA METROPOLITANA CARTAGENA","ADQUISICIÓN E INSTALACIÓN Y PUESTA EN FUNCIONAMIENTO A TODO COSTO DE EQUIPOS DE AIRE ACONDICIONADOS PARA LA POLICÍA METROPOLITANA DE CARTAGENA DE INDIAS y DEMÁS UNIDADES AGREGADAS","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8233727","POLICIA METROPOLITANA DE CARTAGENA DE INDIAS","900149064","METROPOLITANA DE CARTAGENA","INGENIERIA E INVERSIONES LASKO SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$201.525.310","$195.520.842","60","día(s)","0","1","06/03/2025","07/04/2025","07/11/2025"
"CO1.REQ.9009492","SILLAS POLIPROPILENO ESCUELA POLICIA CARLOS EUGENIO RESTREPO","LA ADQUISICION E INSTALACION DE SILLAS DE POLIPROPILENO PARA LAS GRADERIAS DE ESCUELA DE POLICIA CARLOS EUGENIO RESTREPO","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8874691","ESCUELA DE POLICIA CARLOS EUGENIO RESTREPO","800141259","ESCUELA DE POLICIA CARLOS EUGENIO RESTREPO","ARHO SOLUCIONES S.A.S","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$199.480.394","$197.472.132","40","día(s)","0","1","10/01/2025","10/23/2025","10/26/2025"
"CO1.REQ.7958655","BEBIDAS","SUMINISTRO DE BEBIDAS GASEOSAS, AGUA, JUGOS Y TE POR DEMANDA A PRECIOS UNITARIOS PARA COMERCIALIZAR EN EL EXPENDIO DE LA CÁRCEL Y PENITENCIARIA EL BARNE - CPAMSEB","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7846376","CPAMSEB","8200009822","SUBASTA DE PRUEBA","GRUPO EMPRESARIAL SHALOM GES S.A.S.","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$650.000.000","$650.000.000","8","Mes(es)","0","1","03/17/2025","04/01/2025","04/04/2025"
"CO1.REQ.9177292","PRENDAS IDENTIFICACIÓN INSTITUCIONAL GESTORES ORDEN","ADQUISICIÓN DE PRENDAS DE IDENTIFICACIÓN INSTITUCIONAL PARA LOS GESTORES DEL ORDEN DE LA SECRETARÍA DISTRITAL DE SEGURIDAD, CONVIVENCIA Y JUSTICIA","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9054717","SECRETARIA DISTRITAL DE SEGURIDAD, CONVIVENCIA Y JUSTICIA","899999061","Dirección Jurídica y Contractual","MARCELO GARCIA MG MARCEL SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$310.716.836","$310.716.836","0","día(s)","0","1","11/04/2025","11/25/2025","11/25/2025"
"CO1.REQ.8261689","ROPA TRABAJO ZAPATOS EMPLEADOS SENA META","ADQUISICIÓN A TÍTULO DE COMPRA DE ROPA DE TRABAJO Y ZAPATOS PARA LOS EMPLEADOS PÚBLICOS DEL SENA REGIONAL META","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8141768","SENA REGIONAL META Grupo de Apoyo Administrativo Mixto","899999034","GRUPO DE CONTRATACION DESPACHO","gildardo abad agudelo lopez","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$246.846.256","$13.875.000","1","Mes(es)","0","1","05/15/2025","06/10/2025","06/13/2025"
"CO1.REQ.8225264","KIT INCORPORACION SOLDADOS","SUMINISTRO DE ELEMENTOS DE DOTACION (KIT DE INCORPORACION) CON DESTINO A LOS SOLDADOS INCORPORADOS DE LAS UNIDADES CENTRALIZADAS ADMINISTRATIVAMENTE POR LA CENTRAL ADMINISTRATIVA USAQUEN","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8100629","Central administrativa regional Usaquen","800131070","CENTRAL ADMINISTRATIVA Y CONTABLE USAQUEN","DISTRIBUCIÓN Y SERVICIO SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$663.640.469","$499.353.877","0","día(s)","0","1","05/07/2025","05/28/2025","06/04/2025"
"CO1.REQ.8176596","Salón audiovisual IES CINOC","Compra de equipos para la implementación del salón audiovisual de la IES CINOC, espacio para la creación de material educativo complementario a los cursos en las modalidades de apoyo a la presencialidad, B-Learning y virtual","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8050934","INSTITUCIÓN DE EDUCACIÓN SUPERIOR COLEGIO INTEGRADO NACIONAL ORIENTE DE CALDAS","890802678","CONTRATACIONES","INVERSIONES Y CONTRATOS BR SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$65.692.434","$63.985.100","30","día(s)","0","1","04/28/2025","06/11/2025","06/11/2025"
"CO1.REQ.7915051","Productos alimenticios COBOG","Suministro de productos alimenticios (Paquetes) para la comercialización a través del almacén expendio del complejo carcelario y penitenciario COBOG-INPEC","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7793303","COBOG-INPEC","830032532","Gestión Corporativa COMEB","incodepf s.a.s","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$550.000.000","$550.000.000","8","Mes(es)","0","1","03/07/2025","04/03/2025","04/08/2025"
"CO1.REQ.8436682","Alimento concentrado caninos CENAC Medellín","ADQUISICIÓN DE ALIMENTO CONCENTRADO PARA SEMOVIENTES (CANINOS) DESTINADO A LAS UNIDADES CENTRALIZADAS PRESUPUESTALMENTE POR LA CENTRAL ADMINISTRATIVA CENAC REGIONAL MEDELLÍN","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8312573","CENTRAL ADMINISTRATIVA Y CONTABLE MEDELLIN","800130708","CENTRAL ADMINISTRATIVA Y CONTABLE REGIONAL MEDELLIN","INVERSIONES Y SUMINISTROS RL S.A.S.","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$226.319.454","$130.496.040","106","día(s)","0","1","06/19/2025","07/09/2025","07/10/2025"
"CO1.REQ.8724190","Gimnasio CADPH","Compraventa de equipos, mobiliario y enseres para la modernización del gimnasio del Centro Agroempresarial y desarrollo Pecuario del Huila","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8592749","SENA REGIONAL HUILA Grupo Administrativo CADP","899999034","CONTRATOS SUBASTA INVERSA","ACTIVA T SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$200.000.000","$200.000.000","60","día(s)","0","1","08/12/2025","09/17/2025","09/19/2025"
"CO1.REQ.8841522","Elementos conservación documentos Ejército","Adquisición de elementos de conservación para la preservación de documentos con destino al área de gestión documental del Ejército Nacional","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8708822","APOYO LOGISTICO COMANDO EJERCITO","8001306324","APOYO LOGISTICO COMANDO EJERCITO","COMERCIALIZADORA ORIKUA SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$165.636.512","$165.514.367","30","día(s)","0","1","09/02/2025","09/25/2025","10/02/2025"
"CO1.REQ.9069604","Chalecos multiproposito Cali","Adquisición de chalecos multiproposito para el fortalecimiento de las agencias de seguridad del Distrito de Santiago de Cali","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8933731","SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE SEGURIDAD Y JUSTICIA","890399011","Secretaría de Seguridad y Justicia","MARSAM S.A.S.","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$138.964.392","$137.138.400","70","día(s)","0","1","10/10/2025","10/31/2025","11/04/2025"
"CO1.REQ.9396299","Elementos útiles oficina Dirección Tránsito Bucaramanga","Compra de elementos útiles de oficina, necesarios para la correcta ejecución de actividades de la Dirección de Tránsito de Bucaramanga","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9255919","DIRECCION DE TRANSITO DE BUCARAMANGA","890204109","OFICINA ASESORA DE CONTRATACION","RAMIRO BAUTISTA CACERES","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$105.000.000","$105.000.000","30","día(s)","0","1","12/05/2025","12/17/2025","12/22/2025"
"CO1.REQ.8992641","Vehículos seguridad Ciudad Bolívar","Adquisición de vehículos de motor (motocicletas, camioneta pick up y camioneta tipo van), para el fortalecimiento de la capacidad operativa de los organismos de seguridad de la localidad de Ciudad Bolívar","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8859491","ALCALDIA LOCAL DE CIUDAD BOLIVAR","899999061","CONTRATACION FDLCB","GAMA","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$2.311.788.880","$2.311.788.880","5","Mes(es)","0","1","09/29/2025","10/15/2025","10/16/2025"
"CO1.REQ.9199584","Licencias software","Adquisición y/o renovación de licencias o suscripciones de software","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9061348","INM","900494393","GESTION CONTRACTUAL","Royal Tech Group SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$162.921.740","$159.663.269","0","día(s)","0","1","11/04/2025","12/01/2025","12/05/2025"
"CO1.REQ.7959019","Dotación personal civil Comando Aéreo","Adquisición de dotación (traje formal, zapato formal, uniformes de labor y zapatos de labor) y tarjetas canjeables para el personal civil del Comando Aéreo de Mantenimiento","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7860443","COMANDO AEREO DE MANTENIMIENTO","800141641","CAMAN","BACET GROUP SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$275.990.000","$73.796.807","5","Mes(es)","0","1","03/18/2025","04/11/2025","04/21/2025"
