"ID del Proceso","Nombre del Procedimiento","Descripción del Procedimiento","Estado del Procedimiento","URLProceso","Entidad","Nit Entidad","Nombre de la Unidad de Contratación","Nombre del Proveedor Adjudicado","Modalidad de Contratacion","Justificación Modalidad de Contratación","Tipo de Contrato","Precio Base","Valor Total Adjudicacion","Duracion","Unidad de Duracion","Proveedores que Manifestaron Interes","Conteo de Respuestas a Ofertas","Fecha de Publicacion del Proceso","Fecha de Apertura Efectiva","Fecha Adjudicacion"
"CO1.REQ.9085403","ROPA DE TRABAJO  (Presentación de oferta)","Contratar la Compra de Ropa de Trabajo para Empleados Públicos Administrativos e Instructores del SENA Regional Santander.","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8949356","SENA REGIONAL SANTANDER Grupo de Apoyo Administrativo Mixto","899999034","Despacho Regional","COMERCIALIZADORA ARTURO CALLE S.A.S.","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$573.393.224","$8.538.094","0","día(s)","0","1","10/15/2025","10/30/2025","11/05/2025"
"CO1.REQ.9269285","ADQUISICIÓN DE MATERIALES Y SUMINISTROS DE PRODUCCIÓN; DESAGREGADOS EN LOTE 1- QUÍMICOS Y COMPUESTOS; LOTE 2- EMPAQUE Y ROTULADO; LOTE 3- HERRAJES; DESTINADOS A LA ELABORACIÓN DE MATERIAL DE INTENDENC","ADQUISICIÓN DE MATERIALES Y SUMINISTROS DE PRODUCCIÓN, DESAGREGADOS EN LOTE 1- QUÍMICOS Y COMPUESTOS, LOTE 2- EMPAQUE Y ROTULADO, LOTE 3- HERRAJES, DESTINADOS A LA ELABORACIÓN DE MATERIAL DE INTENDENCIA Y CAMPAÑA PARA EL BATALLÓN DE INTENDENCIA No. 1  LAS JUANAS  CON CARGO AL CUPO DE LA VIGENCIA FUTURA, CORRESPONDIENTE AL PRIMER SEMESTRE DE 2026","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9139824","CENTRAL ADMINISTRATIVA Y CONTABLE  PUENTE ARANDA+","830039548","OFICINA DE CONTRATOS","EL COMERCIO  DE  CUEROS SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$6.519.555.084","$479.804.396","0","día(s)","0","1","11/15/2025","12/10/2025","12/12/2025"
"CO1.REQ.9027100","ADQUISICIÓN DE EQUIPOS PARA EL CONTROL DE CONDICIONES AMBIENTALES Y PARA EL DESARROLLO DE PROCESAMIENTO ANALÍTICO DE LAS MUESTRAS REMITIDAS A LA SUBDIRECCIÓN DE LABORATORIO DE SALUD PÚBLICA DE LA SECR","ADQUISICIÓN DE EQUIPOS PARA EL CONTROL DE CONDICIONES AMBIENTALES Y PARA EL DESARROLLO DE PROCESAMIENTO ANALÍTICO DE LAS MUESTRAS REMITIDAS A LA  UBDIRECCIÓN DE LABORATORIO DE SALUD PÚBLICA DE LA SECRETARÍA DISTRITAL DE SALUD","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8892584","FONDO FINANCIERO DISTRITAL DE SALUD..","8002469532","SUBDIRECCION DE CONTRATACIÓN","EQUIPOS Y LABORATORIO DE COLOMBIA S.A.S","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$4.226.823.262","$137.885.300","48","día(s)","0","1","10/03/2025","11/06/2025","11/28/2025"
"CO1.REQ.8184020","SUMINISTRO DE EQUIPOS TECNOLÓGICOS Y DE COMPUTO (HARDWARE Y SOFTWARE); PARA LAS DIFERENTES DEPENDENCIAS DE LA ALCALDÍA MUNICIPAL  (Presentación de oferta)","SUMINISTRO DE EQUIPOS TECNOLÓGICOS Y DE COMPUTO (HARDWARE Y SOFTWARE), PARA LAS DIFERENTES DEPENDENCIAS DE LA ALCALDÍA MUNICIPAL","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8058754","MUNICIPIO DE VILLA DE LEYVA//","891801268","Oficina Asesora de Contratacion Licitaciones y Suministros","TECNOPHONE COLOMBIA SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$104.095.155","$102.947.000","0","día(s)","0","1","04/29/2025","05/22/2025","05/23/2025"
"CO1.REQ.10123362","SUMINISTRO DE MATERIALES DE FERRETERÍA; MECÁNICA; ELECTRÓNICA; CONFECCIONES Y BELLEZA (Presentación de oferta)","54_9537_619; 54_9537_620; 54_9537_621; 54_9537_622; 54_9537_623 Contratar el suministro de materiales de formación de las áreas de: Ferretería; Mecánica Automotriz; Electrónica; Confecciones y Belleza por el sistema de proveeduría de precios unitarios fijos y monto agotable para los diferentes programas del Centro de la Industria, la Empresa y los Servicios de la Regional Norte de Santander.","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9987464","SENA REGIONAL NORTE DE SANTANDER Grupo de Apoyo Administrativo Mixto","899999034","CENTRO DE LA INDUSTRIA LA EMPRESA Y LOS SERVICIOS- CIES","Jorge Humberto Jaimes Herreño","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$2.357.797.477","$274.877.824","0","día(s)","0","1","02/05/2026","02/23/2026","02/24/2026"
"CO1.REQ.8956452","Equipos cocina  (Presentación de oferta)","Compra de equipos necesarios para el desarrollo del proyecto de
Modernización para el ambiente de formación de cocina ubicado en el Centro de Desarrollo Agroempresarial.","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8822258","SENA REGIONAL CUNDINAMARCA Grupo Administrativo CDA","899999034","Unidad de Contratacion CDA","JARINOX SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$241.226.387","$229.079.000","30","día(s)","0","1","09/23/2025","10/16/2025","10/17/2025"
"CO1.REQ.8449117","C268-Adquirir la renovación de las licencias del equipo de seguridad perimetral y antivirus; renovación del pool de direcciones IPV6 y renovación de las licencias de los dispositivos Access Point para","Adquirir la renovación de las licencias del equipo de seguridad perimetral y antivirus, renovación del pool de direcciones IPV6 y renovación de las licencias de los dispositivos Access Point para el Instituto Colombiano de Antropología e Historia","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8322503","ICANH","830067892","Oficina de Contratos","ITSEC SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$238.196.663","$182.081.594","120","día(s)","0","1","06/20/2025","07/08/2025","07/15/2025"
"CO1.REQ.8970419","SUMINISTRO DE TIQUETES AEREOS E INTERNACIONALES (Presentación de oferta)","Suministro de tiquetes aéreos en rutas nacionales e internacionales para la Agencia Nacional de Defensa Jurídica del Estado.","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8836674","AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO","900507741","GRUPO DE GESTIÓN CONTRACTUAL","GOLD TOUR S.A.S","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$323.457.065","$323.457.065","0","día(s)","0","1","09/24/2025","10/08/2025","10/10/2025"
"CO1.REQ.8215463","ADQUISICIÓN DE EQUIPO MÉDICO Y DE USO HOSPITALARIO PARA LA JEFATURA DE SALUD DE LA FUERZA AÉREA COLOMBIANA Y SUS ESTABLECIMIENTOS DE SANIDAD MILITAR A NIVEL NACIONAL (Presentación de oferta)","ADQUISICIÓN DE EQUIPO MÉDICO Y DE USO HOSPITALARIO PARA LA JEFATURA DE SALUD DE LA FUERZA AÉREA COLOMBIANA Y SUS ESTABLECIMIENTOS DE SANIDAD MILITAR A NIVEL NACIONAL","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8092105","JEFATURA SALUD FUERZA AEREA","901440176","JEFATURA  SALUD FUERZA AÉREA","TECNICA ELECTROMEDICA S.A.","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$650.446.000","$233.063.600","3","Mes(es)","0","1","05/06/2025","06/13/2025","06/26/2025"
"CO1.REQ.9296337","ALIMENTACION PRIVADOS  DE LA LIVERTAD  (Presentación de oferta)","CONTRATAR EL SUMINISTRO DE LA ALIMENTACIÓN DE LAS PERSONAS PRIVADAS DE LA LIBERTAD EN LA ESTACIÓN DE POLICÍA DEL MUNICIPIO DE NEIRA, GARANTIZANDO LA CALIDAD, CANTIDAD DE LOS ALIMENTOS, ASÍ COMO LA HIGIENE Y SEGURIDAD EN LA PREPARACIÓN Y DISTRIBUCIÓN DE LOS MISMOS","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9156568","ALCALDIA DE NEIRA","890801135","GESTION CONTRACTUAL","FUNDACIÓN SERVICIO ALIMENTACIÓN Y BIENESTAR SOCIAL","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Prestación de servicios","$156.000.000","$35.000","13","Mes(es)","0","1","11/19/2025","11/27/2025","12/05/2025"
"CO1.REQ.9357110","Adquisición de mobiliario y elementos para la dotación de las instalaciones de la UAE Cuerpo Oficial de Bomberos Bogotá- SGC (Presentación de oferta)","Adquisición de mobiliario y elementos para la dotación de las instalaciones de la UAE Cuerpo Oficial de Bomberos Bogotá- SGC","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9215808","UNIDAD ADMINISTRATIVA ESPECIAL CUERPO OFICIAL DE BOMBEROS DE BOGOTA","899999061","OFICINA JURÍDICA","MULTIREPUESTOS BOSA INTERNACIONAL S.A.S.","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$1.323.596.643","$899.439.000","2","Mes(es)","0","1","11/28/2025","12/18/2025","12/19/2025"
"CO1.REQ.8249577","ADQUISICIÓN Y/O SUMINISTRO DE MATERIALES DE FORMACIÓN PARA LOS DIFERENTES PROGRAMAS DEL CENTRO DE INDUSTRIA Y SERVICIOS DEL META PARA LA VIGENCIA 2025 (Presentación de oferta)","ADQUISICIÓN Y/O SUMINISTRO DE MATERIALES DE FORMACIÓN PARA LOS DIFERENTES
PROGRAMAS DEL CENTRO DE INDUSTRIA Y SERVICIOS DEL META PARA LA VIGENCIA 2025","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8129975","SENA REGIONAL META Grupo de Apoyo Administrativo Mixto","899999034","CONTRATACION CISM 2026","GRUPO EMPRESARIAL CDJ S.A.S.","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$716.950.783","$21.467.125","180","día(s)","0","1","05/13/2025","06/04/2025","06/17/2025"
"CO1.REQ.9334793","El CONTRATISTA SE OBLIGA PARA CON EL MUNICIPIO DE TIMBIO A TRANSFERIR A TITULO DE VENTA; PRODUCTOS; INSUMOS; ALIMENTOS ENTRE OTROS ELEMENTOS AGROPECUARIOS CON EL FIN DE FORTALECER A LOS PRODUCTORES AG","El CONTRATISTA SE OBLIGA PARA CON EL MUNICIPIO DE TIMBIO A TRANSFERIR A TITULO
DE VENTA, PRODUCTOS, INSUMOS, ALIMENTOS ENTRE OTROS ELEMENTOS AGROPECUARIOS CON EL
FIN DE FORTALECER A LOS PRODUCTORES AGROPECUARIOS Y LAS UNIDADES PRODUCTIVAS DEL
MUNICIPIO DE TIMBIO, EN EL MARCO DEL PROYECTO  CONTRIBUCION AL PROGRAMA INCLUSIÓN
PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES  PARA EL FORTALECIMIENTO DE LAS
CAPACIDADES PRODUCTIVAS Y DE COMERCIALIZACIÓN EN LOS PRODUCTORES AGRÍCOLAS DEL
MUNICIPIO DE TIMBÍO","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9193331","MUNICIPIO DE TIMBIO","891500742","SECRETARIA DE PLANEACION E INFRAESTRUCTURA - CONTRATACION","COMERCIALIZADORA Y ACABADOS DEL CAUCA","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Prestación de servicios","$166.731.308","$163.952.357","0","día(s)","0","1","11/25/2025","12/10/2025","12/14/2025"
"CO1.REQ.8673832","BIOLOGÍA MOLECULAR (Presentación de oferta)","Suministrar insumos y reactivos de biología molecular y prestación del servicio de intervenciones metrológicas e instalación de consumibles del equipo LIGHTCYCLER 480 para la Oficina de Laboratorios y Control de Calidad del Instituto Nacional de Vigilancia De Medicamentos y Alimentos - Invima.","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8542944","INSTITUTO NACIONAL DE VIGILANCIA DE MEDICAMENTOS Y ALIMENTOS //","830000167","Grupo de Gestion Contractual","ISLA SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$71.067.605","$17.602.295","90","día(s)","0","1","08/01/2025","08/27/2025","09/02/2025"
"CO1.REQ.8215463","ADQUISICIÓN DE EQUIPO MÉDICO Y DE USO HOSPITALARIO PARA LA JEFATURA DE SALUD DE LA FUERZA AÉREA COLOMBIANA Y SUS ESTABLECIMIENTOS DE SANIDAD MILITAR A NIVEL NACIONAL (Presentación de oferta)","ADQUISICIÓN DE EQUIPO MÉDICO Y DE USO HOSPITALARIO PARA LA JEFATURA DE SALUD DE LA FUERZA AÉREA COLOMBIANA Y SUS ESTABLECIMIENTOS DE SANIDAD MILITAR A NIVEL NACIONAL","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8092105","JEFATURA SALUD FUERZA AEREA","901440176","JEFATURA  SALUD FUERZA AÉREA","TECNICA ELECTROMEDICA S.A.","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$650.446.000","$73.332.000","3","Mes(es)","0","1","05/06/2025","06/13/2025","06/26/2025"
"CO1.REQ.8625591","Adquisición de consumibles de impresión tipo tóner; cartuchos; cintas y etiquetas para las impresoras a cargo de la dirección general del servicio nacional de aprendizaje SENA (Presentación de oferta)","Adquisición de consumibles de impresión tipo tóner, cartuchos, cintas y
etiquetas para las impresoras a cargo de la dirección general del servicio
nacional de aprendizaje SENA","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8494809","SENA DIRECCION GENERAL","899999034","Dirección Administrativa y Financiera","VENEPLAST LTDA","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$1.266.664.287","$1.075.119.780","3","Mes(es)","0","1","07/24/2025","08/13/2025","08/19/2025"
"CO1.REQ.8383987","MATERIALES DE FORMACION CASA 2025 (Presentación de oferta)","Suministro de materiales de formación, bienes de consumo y otros insumos, necesarios para atender las áreas de Formación Profesional Integral en los diferentes programas del Centro Atención Sector Agropecuario, de la Regional Risaralda, para la vigencia 2025","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8261547","SENA REGIONAL RISARALDA Grupo de Apoyo Administrativo Mixto//","899999034","CENTRO ATENCIÓN SECTOR AGROPECUARIO","MUNDIAL DE SUMINISTROS Y CONTRATOS S.A.S","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$784.643.082","$20.000.000","0","día(s)","0","1","06/09/2025","06/19/2025","06/25/2025"
"CO1.REQ.8215463","ADQUISICIÓN DE EQUIPO MÉDICO Y DE USO HOSPITALARIO PARA LA JEFATURA DE SALUD DE LA FUERZA AÉREA COLOMBIANA Y SUS ESTABLECIMIENTOS DE SANIDAD MILITAR A NIVEL NACIONAL (Presentación de oferta)","ADQUISICIÓN DE EQUIPO MÉDICO Y DE USO HOSPITALARIO PARA LA JEFATURA DE SALUD DE LA FUERZA AÉREA COLOMBIANA Y SUS ESTABLECIMIENTOS DE SANIDAD MILITAR A NIVEL NACIONAL","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8092105","JEFATURA SALUD FUERZA AEREA","901440176","JEFATURA  SALUD FUERZA AÉREA","BPL MEDICAL SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Compraventa","$650.446.000","$8.078.900","3","Mes(es)","0","1","05/06/2025","06/13/2025","06/26/2025"
"CO1.REQ.7715291","ADQUISICION DE CIGARRILLOS (Presentación de oferta)","SUMINISTRO DE PRODUCTOS DE TABACO (CIGARRILLOS) PARA LA VENTA AL PERSONAL PRIVADO DE LA LIBERTAD EN EL ALMACEN EXPENDIO DE LA CPAMSM BOGOTA - INPEC","Abierto","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7610791","RECLUSIÓN DE MUJERES DE BOGOTA","830032895","129-RMBOGOTA-CONTRATOS","GRUPO EMPRESARIAL SHALOM GES S.A.S.","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$376.000.000","$376.000.000","9","Mes(es)","0","1","02/12/2025","02/25/2025",
"CO1.REQ.8673832","BIOLOGÍA MOLECULAR (Presentación de oferta)","Suministrar insumos y reactivos de biología molecular y prestación del servicio de intervenciones metrológicas e instalación de consumibles del equipo LIGHTCYCLER 480 para la Oficina de Laboratorios y Control de Calidad del Instituto Nacional de Vigilancia De Medicamentos y Alimentos - Invima.","Seleccionado","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8542944","INSTITUTO NACIONAL DE VIGILANCIA DE MEDICAMENTOS Y ALIMENTOS //","830000167","Grupo de Gestion Contractual","ISLA SAS","Selección abreviada subasta inversa","Suministro de bienes y servicios de características técnicas uniformes y común utilización","Suministros","$71.067.605","$19.288.949","90","día(s)","0","1","08/01/2025","08/27/2025","09/02/2025"
